ISBN,title,author,year,publisher,image_url,book_id,genre
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,0,Putnam Pub Group
0440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,1,Dell
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,2,Plume
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,3,Ryland Peters & Small Ltd
0971880107,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,4,Too Far
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,5,Ballantine Books
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,6,Ballantine Books
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,7,Little Brown & Company
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,8,Ballantine Books
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,9,Harpercollins
0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,10,HarperTorch
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,11,Pocket
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,12,Bantam Books
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,13,Berkley Publishing Group
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,14,Berkley Publishing Group
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,15,Dell
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,16,Tyndale House Publishers
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,17,Dell
